,row,CUI Part,CUI Series,status,RECOM series,RECOM Series matches,vin_min,vin_max,vout_1,vout_2,isolation,num_outputs,RECOM_Artikelnummer,RECOM_Bezeichnung 1,RECOM_Inputvoltage,RECOM_Outputvoltage,RECOM_Isolation,RECOM_ProductgroupBezeichnung,score
71,164,VQB75W-Q24-S5,vqb75w,,RP90Q-RW,65,9.0,36.0,5.0,,1500.0,1.0,30004519,RP90Q-2405SRW/P,9-36,05,2.25KV,RP90Q-RW,4.0
72,164,VQB75W-Q24-S5,vqb75w,,RP90Q-RW,65,9.0,36.0,5.0,,1500.0,1.0,30004983,RP90Q-2405SRW/P/X6,9-36,05,3KV,RP90Q-RW,4.0
73,164,VQB75W-Q24-S5,vqb75w,,RP90Q-RW,65,9.0,36.0,5.0,,1500.0,1.0,30004524,RP90Q-2405SRW/P-HC,9-36,05,2.25KV,RP90Q-RW,4.0
74,164,VQB75W-Q24-S5,vqb75w,,RP90Q-RW,65,9.0,36.0,5.0,,1500.0,1.0,30004509,RP90Q-2405SRW/N,9-36,05,2.25KV,RP90Q-RW,4.0
75,164,VQB75W-Q24-S5,vqb75w,,RP90Q-RW,65,9.0,36.0,5.0,,1500.0,1.0,30004514,RP90Q-2405SRW/N-HC,9-36,05,2.25KV,RP90Q-RW,4.0
76,166,VQB75W-Q24-S24,vqb75w,,RP90Q-RW,65,9.0,36.0,24.0,,1500.0,1.0,30004522,RP90Q-2424SRW/P,9-36,24,2.25KV,RP90Q-RW,4.0
77,166,VQB75W-Q24-S24,vqb75w,,RP90Q-RW,65,9.0,36.0,24.0,,1500.0,1.0,30004527,RP90Q-2424SRW/P-HC,9-36,24,2.25KV,RP90Q-RW,4.0
78,166,VQB75W-Q24-S24,vqb75w,,RP90Q-RW,65,9.0,36.0,24.0,,1500.0,1.0,30004512,RP90Q-2424SRW/N,9-36,24,2.25KV,RP90Q-RW,4.0
79,166,VQB75W-Q24-S24,vqb75w,,RP90Q-RW,65,9.0,36.0,24.0,,1500.0,1.0,30004517,RP90Q-2424SRW/N-HC,9-36,24,2.25KV,RP90Q-RW,4.0
80,166,VQB75W-Q24-S24,vqb75w,,RP90Q-RW,65,9.0,36.0,24.0,,1500.0,1.0,30004982,KES-RP90Q-2424SRW/P,9-36,24,2.25KV,KES-RP90Q-RW,4.0
81,167,VQB75W-Q24-S15,vqb75w,,RP90Q-RW,65,9.0,36.0,15.0,,1500.0,1.0,30004521,RP90Q-2415SRW/P,9-36,15,2.25KV,RP90Q-RW,4.0
82,167,VQB75W-Q24-S15,vqb75w,,RP90Q-RW,65,9.0,36.0,15.0,,1500.0,1.0,30004526,RP90Q-2415SRW/P-HC,9-36,15,2.25KV,RP90Q-RW,4.0
83,167,VQB75W-Q24-S15,vqb75w,,RP90Q-RW,65,9.0,36.0,15.0,,1500.0,1.0,30004511,RP90Q-2415SRW/N,9-36,15,2.25KV,RP90Q-RW,4.0
84,167,VQB75W-Q24-S15,vqb75w,,RP90Q-RW,65,9.0,36.0,15.0,,1500.0,1.0,30004516,RP90Q-2415SRW/N-HC,9-36,15,2.25KV,RP90Q-RW,4.0
85,168,VQB75W-Q24-S12,vqb75w,,RP90Q-RW,65,9.0,36.0,12.0,,1500.0,1.0,30004520,RP90Q-2412SRW/P,9-36,12,2.25KV,RP90Q-RW,4.0
86,168,VQB75W-Q24-S12,vqb75w,,RP90Q-RW,65,9.0,36.0,12.0,,1500.0,1.0,30004525,RP90Q-2412SRW/P-HC,9-36,12,2.25KV,RP90Q-RW,4.0
87,168,VQB75W-Q24-S12,vqb75w,,RP90Q-RW,65,9.0,36.0,12.0,,1500.0,1.0,30004510,RP90Q-2412SRW/N,9-36,12,2.25KV,RP90Q-RW,4.0
88,168,VQB75W-Q24-S12,vqb75w,,RP90Q-RW,65,9.0,36.0,12.0,,1500.0,1.0,30004515,RP90Q-2412SRW/N-HC,9-36,12,2.25KV,RP90Q-RW,4.0
89,169,VHK75W-Q24-S5,vhk75w,,RP75H-RW,64,9.0,36.0,5.0,,1500.0,1.0,30004459,RP75H-2405SRW/P,9-36,05,2.25KV,RP75H-RW,4.0
90,169,VHK75W-Q24-S5,vhk75w,,RP75H-RW,64,9.0,36.0,5.0,,1500.0,1.0,30004464,RP75H-2405SRW/P-HC,9-36,05,2.25KV,RP75H-RW,4.0
91,169,VHK75W-Q24-S5,vhk75w,,RP75H-RW,64,9.0,36.0,5.0,,1500.0,1.0,30004454,RP75H-2405SRW/N-HC,9-36,05,2.25KV,RP75H-RW,4.0
92,169,VHK75W-Q24-S5,vhk75w,,RP75H-RW,64,9.0,36.0,5.0,,1500.0,1.0,30004449,RP75H-2405SRW/N,9-36,05,2.25KV,RP75H-RW,4.0
93,170,VHK75W-Q24-S48,vhk75w,,RP75H-RW,64,9.0,36.0,48.0,,1500.0,1.0,30004463,RP75H-2448SRW/P,9-36,48,2.25KV,RP75H-RW,4.0
94,170,VHK75W-Q24-S48,vhk75w,,RP75H-RW,64,9.0,36.0,48.0,,1500.0,1.0,30004458,RP75H-2448SRW/N-HC,9-36,48,2.25KV,RP75H-RW,4.0
95,170,VHK75W-Q24-S48,vhk75w,,RP75H-RW,64,9.0,36.0,48.0,,1500.0,1.0,30004453,RP75H-2448SRW/N,9-36,48,2.25KV,RP75H-RW,4.0
96,170,VHK75W-Q24-S48,vhk75w,,RP75H-RW,64,9.0,36.0,48.0,,1500.0,1.0,30004468,RP75H-2448SRW/P-HC,9-36,48,2.25KV,RP75H-RW,4.0
97,172,VHK75W-Q24-S24,vhk75w,,RP75H-RW,64,9.0,36.0,24.0,,1500.0,1.0,30004457,RP75H-2424SRW/N-HC,9-36,24,2.25KV,RP75H-RW,4.0
98,172,VHK75W-Q24-S24,vhk75w,,RP75H-RW,64,9.0,36.0,24.0,,1500.0,1.0,30004462,RP75H-2424SRW/P,9-36,24,2.25KV,RP75H-RW,4.0
99,172,VHK75W-Q24-S24,vhk75w,,RP75H-RW,64,9.0,36.0,24.0,,1500.0,1.0,30004467,RP75H-2424SRW/P-HC,9-36,24,2.25KV,RP75H-RW,4.0
100,172,VHK75W-Q24-S24,vhk75w,,RP75H-RW,64,9.0,36.0,24.0,,1500.0,1.0,30004452,RP75H-2424SRW/N,9-36,24,2.25KV,RP75H-RW,4.0
101,172,VHK75W-Q24-S24,vhk75w,,RP75H-RW,64,9.0,36.0,24.0,,1500.0,1.0,21000408,KES-RP75H-2424SRW/P,9-36,24,2.25KV,KES-RP75H-RW,4.0
102,173,VHK75W-Q24-S15,vhk75w,,RP75H-RW,64,9.0,36.0,15.0,,1500.0,1.0,30004466,RP75H-2415SRW/P-HC,9-36,15,2.25KV,RP75H-RW,4.0
103,173,VHK75W-Q24-S15,vhk75w,,RP75H-RW,64,9.0,36.0,15.0,,1500.0,1.0,30004456,RP75H-2415SRW/N-HC,9-36,15,2.25KV,RP75H-RW,4.0
104,173,VHK75W-Q24-S15,vhk75w,,RP75H-RW,64,9.0,36.0,15.0,,1500.0,1.0,30004461,RP75H-2415SRW/P,9-36,15,2.25KV,RP75H-RW,4.0
105,173,VHK75W-Q24-S15,vhk75w,,RP75H-RW,64,9.0,36.0,15.0,,1500.0,1.0,30004451,RP75H-2415SRW/N,9-36,15,2.25KV,RP75H-RW,4.0
106,174,VHK75W-Q24-S12,vhk75w,,RP75H-RW,64,9.0,36.0,12.0,,1500.0,1.0,30004460,RP75H-2412SRW/P,9-36,12,2.25KV,RP75H-RW,4.0
107,174,VHK75W-Q24-S12,vhk75w,,RP75H-RW,64,9.0,36.0,12.0,,1500.0,1.0,30004465,RP75H-2412SRW/P-HC,9-36,12,2.25KV,RP75H-RW,4.0
108,174,VHK75W-Q24-S12,vhk75w,,RP75H-RW,64,9.0,36.0,12.0,,1500.0,1.0,30004450,RP75H-2412SRW/N,9-36,12,2.25KV,RP75H-RW,4.0
109,174,VHK75W-Q24-S12,vhk75w,,RP75H-RW,64,9.0,36.0,12.0,,1500.0,1.0,30004455,RP75H-2412SRW/N-HC,9-36,12,2.25KV,RP75H-RW,4.0
110,175,VHK50W-Q24-S5,vhk50w,,RP75H-RW,64,9.0,36.0,5.0,,1500.0,1.0,30004459,RP75H-2405SRW/P,9-36,05,2.25KV,RP75H-RW,4.0
111,175,VHK50W-Q24-S5,vhk50w,,RP75H-RW,64,9.0,36.0,5.0,,1500.0,1.0,30004464,RP75H-2405SRW/P-HC,9-36,05,2.25KV,RP75H-RW,4.0
112,175,VHK50W-Q24-S5,vhk50w,,RP75H-RW,64,9.0,36.0,5.0,,1500.0,1.0,30004454,RP75H-2405SRW/N-HC,9-36,05,2.25KV,RP75H-RW,4.0
113,175,VHK50W-Q24-S5,vhk50w,,RP75H-RW,64,9.0,36.0,5.0,,1500.0,1.0,30004449,RP75H-2405SRW/N,9-36,05,2.25KV,RP75H-RW,4.0
114,176,VHK50W-Q24-S48,vhk50w,,RP75H-RW,64,9.0,36.0,48.0,,1500.0,1.0,30004463,RP75H-2448SRW/P,9-36,48,2.25KV,RP75H-RW,4.0
115,176,VHK50W-Q24-S48,vhk50w,,RP75H-RW,64,9.0,36.0,48.0,,1500.0,1.0,30004458,RP75H-2448SRW/N-HC,9-36,48,2.25KV,RP75H-RW,4.0
116,176,VHK50W-Q24-S48,vhk50w,,RP75H-RW,64,9.0,36.0,48.0,,1500.0,1.0,30004453,RP75H-2448SRW/N,9-36,48,2.25KV,RP75H-RW,4.0
117,176,VHK50W-Q24-S48,vhk50w,,RP75H-RW,64,9.0,36.0,48.0,,1500.0,1.0,30004468,RP75H-2448SRW/P-HC,9-36,48,2.25KV,RP75H-RW,4.0
118,179,VHK50W-Q24-S24,vhk50w,,RP75H-RW,64,9.0,36.0,24.0,,1500.0,1.0,30004457,RP75H-2424SRW/N-HC,9-36,24,2.25KV,RP75H-RW,4.0
119,179,VHK50W-Q24-S24,vhk50w,,RP75H-RW,64,9.0,36.0,24.0,,1500.0,1.0,30004462,RP75H-2424SRW/P,9-36,24,2.25KV,RP75H-RW,4.0
120,179,VHK50W-Q24-S24,vhk50w,,RP75H-RW,64,9.0,36.0,24.0,,1500.0,1.0,30004467,RP75H-2424SRW/P-HC,9-36,24,2.25KV,RP75H-RW,4.0
121,179,VHK50W-Q24-S24,vhk50w,,RP75H-RW,64,9.0,36.0,24.0,,1500.0,1.0,30004452,RP75H-2424SRW/N,9-36,24,2.25KV,RP75H-RW,4.0
122,179,VHK50W-Q24-S24,vhk50w,,RP75H-RW,64,9.0,36.0,24.0,,1500.0,1.0,21000408,KES-RP75H-2424SRW/P,9-36,24,2.25KV,KES-RP75H-RW,4.0
123,180,VHK50W-Q24-S15,vhk50w,,RP75H-RW,64,9.0,36.0,15.0,,1500.0,1.0,30004466,RP75H-2415SRW/P-HC,9-36,15,2.25KV,RP75H-RW,4.0
124,180,VHK50W-Q24-S15,vhk50w,,RP75H-RW,64,9.0,36.0,15.0,,1500.0,1.0,30004456,RP75H-2415SRW/N-HC,9-36,15,2.25KV,RP75H-RW,4.0
125,180,VHK50W-Q24-S15,vhk50w,,RP75H-RW,64,9.0,36.0,15.0,,1500.0,1.0,30004461,RP75H-2415SRW/P,9-36,15,2.25KV,RP75H-RW,4.0
126,180,VHK50W-Q24-S15,vhk50w,,RP75H-RW,64,9.0,36.0,15.0,,1500.0,1.0,30004451,RP75H-2415SRW/N,9-36,15,2.25KV,RP75H-RW,4.0
127,181,VHK50W-Q24-S12,vhk50w,,RP75H-RW,64,9.0,36.0,12.0,,1500.0,1.0,30004460,RP75H-2412SRW/P,9-36,12,2.25KV,RP75H-RW,4.0
