,row,CUI Part,status,RECOM series,candidates,vin_min,vin_max,vout_1,vout_2,isolation_vac,# full matches,RECOM_Artikelnummer,RECOM_Bezeichnung 1,RECOM_Inputvoltage,RECOM_Outputvoltage,RECOM_Isolation,RECOM_ProductgroupBezeichnung,score
53,115,VOF-50B-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,21000366,RACM60-12SK/OF,80-264,12,4.2KV,RACM60-K,2.0
54,115,VOF-50B-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001252,RACM60-12SK/OF/XR,80-264,12,4.2KV,RACM60-K,2.0
55,115,VOF-50B-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001348,RACM60-12SK/OF-CTN,80-264,12,4.2KV,RACM60-K,2.0
56,115,VOF-50B-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,21000384,RACM60-12SK/OF/PCB-T,80-264,12,4.2KV,RACM60-K,2.0
57,115,VOF-50B-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001280,RACM60-12SK/OF/2x4,80-264,12,4.2KV,RACM60-K,2.0
58,115,VOF-50B-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001325,RACM60-12SK/OF/2x4/6P,80-264,12,4.2KV,RACM60-K,2.0
59,115,VOF-50B-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001354,RACM60-12SK/OF/2x4-CTN,80-264,12,4.2KV,RACM60-K,2.0
60,115,VOF-50B-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001286,RACM60-12SK/ENC,80-264,12,4.2KV,RACM60-K,2.0
61,115,VOF-50B-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001292,RACM60-12SK/ENC/2x4,80-264,12,4.2KV,RACM60-K,2.0
62,115,VOF-50B-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001409,RACM60-12SK/MB/2x4,80-264,12,4.2KV,RACM60-K,2.0
63,115,VOF-50B-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,20001327,RACM60-12SK/277/OF-T,80-305,12,4.2KV,RACM60-K,0.0
64,116,VOF-50B-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,21000367,RACM60-15SK/OF,80-264,15,4.2KV,RACM60-K,2.0
65,116,VOF-50B-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,20001349,RACM60-15SK/OF-CTN,80-264,15,4.2KV,RACM60-K,2.0
66,116,VOF-50B-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,21000385,RACM60-15SK/OF/PCB-T,80-264,15,4.2KV,RACM60-K,2.0
67,116,VOF-50B-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,20001281,RACM60-15SK/OF/2x4,80-264,15,4.2KV,RACM60-K,2.0
68,116,VOF-50B-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,20001355,RACM60-15SK/OF/2x4-CTN,80-264,15,4.2KV,RACM60-K,2.0
69,116,VOF-50B-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,20001287,RACM60-15SK/ENC,80-264,15,4.2KV,RACM60-K,2.0
70,116,VOF-50B-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,20001293,RACM60-15SK/ENC/2x4,80-264,15,4.2KV,RACM60-K,2.0
71,116,VOF-50B-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,20001410,RACM60-15SK/MB/2x4,80-264,15,4.2KV,RACM60-K,2.0
72,116,VOF-50B-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,20001328,RACM60-15SK/277/OF-T,80-305,15,4.2KV,RACM60-K,0.0
73,117,VOF-S60C-48,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,48.0,,3000.0,9 of 65,21000370,RACM60-48SK/OF,80-264,48,4.2KV,RACM60-K,2.0
74,117,VOF-S60C-48,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,48.0,,3000.0,9 of 65,20001352,RACM60-48SK/OF-CTN,80-264,48,4.2KV,RACM60-K,2.0
75,117,VOF-S60C-48,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,48.0,,3000.0,9 of 65,21000388,RACM60-48SK/OF/PCB-T,80-264,48,4.2KV,RACM60-K,2.0
76,117,VOF-S60C-48,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,48.0,,3000.0,9 of 65,20001284,RACM60-48SK/OF/2x4,80-264,48,4.2KV,RACM60-K,2.0
77,117,VOF-S60C-48,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,48.0,,3000.0,9 of 65,20001358,RACM60-48SK/OF/2x4-CTN,80-264,48,4.2KV,RACM60-K,2.0
78,117,VOF-S60C-48,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,48.0,,3000.0,9 of 65,20001290,RACM60-48SK/ENC,80-264,48,4.2KV,RACM60-K,2.0
79,117,VOF-S60C-48,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,48.0,,3000.0,9 of 65,20001296,RACM60-48SK/ENC/2x4,80-264,48,4.2KV,RACM60-K,2.0
80,117,VOF-S60C-48,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,48.0,,3000.0,9 of 65,20001413,RACM60-48SK/MB/2x4,80-264,48,4.2KV,RACM60-K,2.0
81,117,VOF-S60C-48,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,48.0,,3000.0,9 of 65,20001331,RACM60-48SK/277/OF-T,80-305,48,4.2KV,RACM60-K,0.0
82,118,VOF-S60C-36,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,36.0,,3000.0,9 of 65,21000369,RACM60-36SK/OF,80-264,36,4.2KV,RACM60-K,2.0
83,118,VOF-S60C-36,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,36.0,,3000.0,9 of 65,20001351,RACM60-36SK/OF-CTN,80-264,36,4.2KV,RACM60-K,2.0
84,118,VOF-S60C-36,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,36.0,,3000.0,9 of 65,21000387,RACM60-36SK/OF/PCB-T,80-264,36,4.2KV,RACM60-K,2.0
85,118,VOF-S60C-36,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,36.0,,3000.0,9 of 65,20001283,RACM60-36SK/OF/2x4,80-264,36,4.2KV,RACM60-K,2.0
86,118,VOF-S60C-36,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,36.0,,3000.0,9 of 65,20001357,RACM60-36SK/OF/2x4-CTN,80-264,36,4.2KV,RACM60-K,2.0
87,118,VOF-S60C-36,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,36.0,,3000.0,9 of 65,20001289,RACM60-36SK/ENC,80-264,36,4.2KV,RACM60-K,2.0
88,118,VOF-S60C-36,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,36.0,,3000.0,9 of 65,20001295,RACM60-36SK/ENC/2x4,80-264,36,4.2KV,RACM60-K,2.0
89,118,VOF-S60C-36,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,36.0,,3000.0,9 of 65,20001412,RACM60-36SK/MB/2x4,80-264,36,4.2KV,RACM60-K,2.0
90,118,VOF-S60C-36,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,36.0,,3000.0,9 of 65,20001330,RACM60-36SK/277/OF-T,80-305,36,4.2KV,RACM60-K,0.0
91,119,VOF-S60C-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,21000368,RACM60-24SK/OF,80-264,24,4.2KV,RACM60-K,2.0
92,119,VOF-S60C-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001350,RACM60-24SK/OF-CTN,80-264,24,4.2KV,RACM60-K,2.0
93,119,VOF-S60C-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,21000386,RACM60-24SK/OF/PCB-T,80-264,24,4.2KV,RACM60-K,2.0
94,119,VOF-S60C-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001282,RACM60-24SK/OF/2x4,80-264,24,4.2KV,RACM60-K,2.0
95,119,VOF-S60C-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001323,RACM60-24SK/OF/2x4/6P,80-264,24,4.2KV,RACM60-K,2.0
96,119,VOF-S60C-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001324,RACM60-24SK/OF/2x4/6P-WH,80-264,24,4.2KV,RACM60-K,2.0
97,119,VOF-S60C-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001356,RACM60-24SK/OF/2x4-CTN,80-264,24,4.2KV,RACM60-K,2.0
98,119,VOF-S60C-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001288,RACM60-24SK/ENC,80-264,24,4.2KV,RACM60-K,2.0
99,119,VOF-S60C-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001294,RACM60-24SK/ENC/2x4,80-264,24,4.2KV,RACM60-K,2.0
100,119,VOF-S60C-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001729,RACM60-24SK/ENC/2x4/DIN,80-264,24,4.2KV,RACM60-K,2.0
101,119,VOF-S60C-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001411,RACM60-24SK/MB/2x4,80-264,24,4.2KV,RACM60-K,2.0
102,119,VOF-S60C-24,matched 12,RACM60-K,65 RECOM candidates,90.0,264.0,24.0,,3000.0,12 of 65,20001329,RACM60-24SK/277/OF-T,80-305,24,4.2KV,RACM60-K,0.0
103,120,VOF-S60C-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,21000367,RACM60-15SK/OF,80-264,15,4.2KV,RACM60-K,2.0
104,120,VOF-S60C-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,20001349,RACM60-15SK/OF-CTN,80-264,15,4.2KV,RACM60-K,2.0
105,120,VOF-S60C-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,21000385,RACM60-15SK/OF/PCB-T,80-264,15,4.2KV,RACM60-K,2.0
106,120,VOF-S60C-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,20001281,RACM60-15SK/OF/2x4,80-264,15,4.2KV,RACM60-K,2.0
107,120,VOF-S60C-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,20001355,RACM60-15SK/OF/2x4-CTN,80-264,15,4.2KV,RACM60-K,2.0
108,120,VOF-S60C-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,20001287,RACM60-15SK/ENC,80-264,15,4.2KV,RACM60-K,2.0
109,120,VOF-S60C-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,20001293,RACM60-15SK/ENC/2x4,80-264,15,4.2KV,RACM60-K,2.0
110,120,VOF-S60C-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,20001410,RACM60-15SK/MB/2x4,80-264,15,4.2KV,RACM60-K,2.0
111,120,VOF-S60C-15,matched 9,RACM60-K,65 RECOM candidates,90.0,264.0,15.0,,3000.0,9 of 65,20001328,RACM60-15SK/277/OF-T,80-305,15,4.2KV,RACM60-K,0.0
112,121,VOF-S60C-12,matched 11,RACM60-K,65 RECOM candidates,90.0,264.0,12.0,,3000.0,11 of 65,21000366,RACM60-12SK/OF,80-264,12,4.2KV,RACM60-K,2.0
