,CUI Part,status,RECOM series,candidates,vin_min,vin_max,vout_1,vout_2,isolation_vac,# full matches,# match Vin MIN,# match Vin MAX,# match Vout 1,# match Vout 2,# match Isolation,# match Num outputs,Recom 1,Recom 2,Recom 3,Recom 4,Recom 5
159,VOF-80B-15-C,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
160,VOF-80B-12-C,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
161,VOF-85B-48,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
162,VOF-85B-24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
163,VOF-85B-12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
164,TJ-100-48,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
165,TJ-100-36,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
166,TJ-100-28,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
167,TJ-100-24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
168,TJ-100-12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
169,PSK-100-48-T,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
170,PSK-100-24-T,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
171,PSK-100-12-T,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
172,PSK-100-48,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
173,PSK-100-12,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
174,PSK-100-24,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
175,VMS-160-5,No crosslisting matches,RACM230-G,12 RECOM candidates,90.0,264.0,5.0,,,0 of 12,,,,,,,,,,,
176,VMS-100-24,No crosslisting matches,RACM140E-K,36 RECOM candidates,90.0,264.0,24.0,,,0 of 36,,,,,,,,,,,
177,VSBU-120C-5,No crosslisting matches,RACM140E-K,36 RECOM candidates,90.0,264.0,5.0,,,0 of 36,,,,,,,,,,,
178,VSUU-120-5,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
179,VSBU-120-5,CUI series not found in cross-list,,,,,,,,,,,,,,,,,,,
180,VSBU-120C-T515A,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
181,VSBU-120C-T512A,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
182,VSBU-120C-D524A,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
183,VSBU-120C-D512,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
184,VSBU-120C-D285,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
185,VSBU-120C-48,No crosslisting matches,RACM140E-K,36 RECOM candidates,90.0,264.0,48.0,,,0 of 36,,,,,,,,,,,
186,VSBU-120C-36,No crosslisting matches,RACM140E-K,36 RECOM candidates,90.0,264.0,36.0,,,0 of 36,,,,,,,,,,,
187,VSBU-120C-30,No crosslisting matches,RACM140E-K,36 RECOM candidates,90.0,264.0,30.0,,,0 of 36,,,,,,,,,,,
188,VSBU-120C-24,No crosslisting matches,RACM140E-K,36 RECOM candidates,90.0,264.0,24.0,,,0 of 36,,,,,,,,,,,
189,VSBU-120C-15,No crosslisting matches,RACM140E-K,36 RECOM candidates,90.0,264.0,15.0,,,0 of 36,,,,,,,,,,,
190,VSBU-120C-12,No crosslisting matches,RACM140E-K,36 RECOM candidates,90.0,264.0,12.0,,,0 of 36,,,,,,,,,,,
191,VSUU-120C-T512A,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
192,VSUU-120C-D524A,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
193,VSUU-120C-D512,no RECOM series crosses,,,,,,,,,,,,,,,,,,,
194,VSUU-120C-24,No crosslisting matches,RACM140E-K,36 RECOM candidates,90.0,264.0,24.0,,,0 of 36,,,,,,,,,,,
195,VSUU-120C-15,No crosslisting matches,RACM140E-K,36 RECOM candidates,90.0,264.0,15.0,,,0 of 36,,,,,,,,,,,
196,VSUU-120C-12,No crosslisting matches,RACM140E-K,36 RECOM candidates,90.0,264.0,12.0,,,0 of 36,,,,,,,,,,,
